date,session_key,driver_number,speed,brake,rpm,n_gear,drs,meeting_key,throttle,x,y,z
2025-05-04T19:08:00.348000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:00.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:00.908000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:01.109000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:01.389000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:01.629000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:01.868000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:02.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:02.588000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:02.788000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:03.068000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:03.308000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:03.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:04.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:04.228000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:04.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:04.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:04.868000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:05.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:05.548000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:05.788000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:05.988000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:06.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:06.628000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:06.788000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:07.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:07.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:07.549000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:07.709000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:08.069000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:08.468000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:08.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:08.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:09.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:09.548000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:09.748000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:09.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:10.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:11.148000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:11.308000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:11.508000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:11.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:11.828000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:12.108000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:12.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:12.548000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:12.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:13.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
